S.No,Organisation Name,Tender Count
1,ADVANCED WEAPONS AND EQUIPMENT INDIA LTD-AWEIL,3
2,Airports Authority of India,179
3,Aravali Power Company Pvt. Ltd - IGSTPP,31
4,Armoured Vehicles Nigam Limited,22
5,Bharat Sanchar Nigam Limited (Govt of India Enterprise),273
6,Bokaro Power Supply Company (P) Limited,8
7,Brahmaputra Cracker and Polymer Limited,2
8,Brahmaputra Valley Fertilizer Corporation Limited,2
9,Cement Corporation of India Limted,41
10,Central Electronics Limited,5
11,Cochin Shipyard Limited,10
12,Council of Scientific and Industrial Research,225
13,Damodar Valley Corporation,63
14,Delhi Police Housing Corporation Ltd,4
15,East Delhi Municipal Corporation (EDMC),1
16,Engineering Projects (India) Ltd.,1
17,GAIL Gas Limited,8
18,GAIL (India) Limited,37
19,Heavy Engineering Corporation Limited,1
20,Hindustan Copper Limited,8
21,HITES,47
22,HLL Lifecare Limited,151
23,HPCL Biofuels Limited,6
24,India Infrastructure Finance Company Limited,1
25,Indian Institute of Technology Madras,9
26,Indian Medicines Pharmaceutical Corporation Limited,1
27,Indian Oil-Adani Gas Private Limited,6
28,Indian Port Rail Corporation Ltd.,4
29,India Optel Limited,6
30,India Tourism Development Corporation Ltd.,9
31,Indradhanush Gas Grid Limited,1
32,Instrumentation Ltd ( Govt of India Enterprise),28
33,IRCON International Limited,17
34,IREL (INDIA) Limited,14
35,Jhabua Power Ltd,7
36,Karmayogi Bharat (Delhi) - World Bank Tenders,1
37,Konkan LNG Limited,2
38,Madhya Pradesh Metro Rail Corporation Limited,4
39,Maharashtra Natural Gas Ltd.,4
40,Meja Urja Nigam Pvt Ltd,3
41,Municipal Corporation of Delhi,225
42,Munitions India Limited,19
43,National Capital Region Transport Corporation,4
44,National Fertilizers Limited,19
45,National High Speed Rail Corporation Limited,2
46,National Highways Authority of India,253
47,National Informatics Centre Services Incorporated,3
48,National Projects Construction Corporation Limited,23
49,North Delhi Municipal Corporation,2
50,North Eastern Electric Power Corporation Limited,19
51,North Eastern Handicrafts and Handlooms Development Corporation Limited,1
52,NTECL,4
53,Nuclear Power Corporation Of India Limited,11
54,ONGC Tripura Power Company,1
55,Ratle Hydroelectric Power Corporation Limited,1
56,Ratnagiri Gas and Power Pvt. Ltd.,1
57,RITES Ltd.,15
58,South Delhi Municipal Corporation,33
59,Telecommunications Consultants India Limited,21
60,TROOP COMFORTS LIMITED,6
61,Uranium Corporation of India Limited,42
62,Uttar Pradesh Metro Rail Corporation Limited,10
63,Visakhapatnam Port Trust,23
64,V.O.Chidambaranar Port Trust,4
65,WAPCOS Limited,19
66,Yantra India Limited,9
